,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32
2025-06-11 09:40:00,,,,,,,,,,,,,,,102.97136306271075,,,100.24399961069983,,,,,,102.3637729127232,,,,,99.19336216613969,,,
2025-06-11 09:40:10,,,,,,,,,,,,,,,102.98025729832757,,,100.24551008051642,,,,,,102.36431884546732,,,,,99.19437322093194,,,
2025-06-11 09:40:20,,,,,,,,,,,,,,,102.98917646872187,,,100.24701517841798,,,,,,102.36486792724432,,,,,99.19539163044908,,,
2025-06-11 09:40:30,,,,,,,,,,,,,,,102.99812063600108,,,100.24851492215602,,,,,,102.36542017157247,,,,,99.19641743177122,,,
2025-06-11 09:40:40,,,,,,,,,,,,,,,103.00708986236938,,,100.2500093294333,,,,,,102.36597559199996,,,,,99.19745066212533,,,
2025-06-11 09:40:50,,,,,,,,,,,,,,,103.01608421011426,,,100.25149841790424,,,,,,102.3665342021047,,,,,99.19849135888857,,,
2025-06-11 09:41:00,,,,,,,,,,,,,,,103.02510374163198,,,100.2529822051746,,,,,99.17111101768144,102.36709601549482,,,,,99.19953955958754,,,
2025-06-11 09:41:10,,,,,,,,,,,,,,,103.03414851940656,,,100.2544607088024,,,,,99.1783199213379,102.36766104580886,,,,,99.2005953018994,,,
2025-06-11 09:41:20,,,,,,,,,,,,,,,103.04321860600936,,,100.25593394629686,,,,,99.18552306779337,102.36822930671563,,,,,99.20165862365097,,,
2025-06-11 09:41:30,,,,,,,,,,,,,,,103.05231406409395,,,100.25740193511987,,,,,99.19272043588718,102.36880081191505,,,,,99.20272956282098,,,
2025-06-11 09:41:40,,,,,,,,,,,,,,,103.0614349564073,,,100.25886469268595,,,,,99.19991200453408,102.36937557513801,,,,,99.20380815753981,,,
2025-06-11 09:41:50,,,,,,,,,,,,,,,103.07058134579313,,,100.26032223636173,,,,,99.20709775272107,102.36995361014645,,,,,99.20489444608992,,,
2025-06-11 09:42:00,,,,,,,,,,,,,,,103.0797532951775,,,100.26177458346753,,,,,99.21427765950936,102.37053493073414,,,,,99.20598846690724,,,
2025-06-11 09:42:10,,,,,,,,,,,,,,,103.08895086757101,,,100.26322175127574,,,,,99.22145170402298,102.37111955072626,,,,,99.20709025858103,,,
2025-06-11 09:42:20,,,,,,,,,,,,,,,103.09817412607421,,,100.26466375701241,,,,,99.22861986545264,102.37170748397989,,,,,99.2081998598545,,,
2025-06-11 09:42:30,,,,,,,,,,,,,,,103.10742313389078,,,100.26610061785698,,,,,99.23578212307044,102.37229874438451,,,,,99.20931730962572,,,
2025-06-11 09:42:40,,,,,,,,,,,,,,,103.11669795428884,,,100.2675323509421,,,,,99.24293845621581,102.37289334586181,,,,,99.21044264694783,,,
2025-06-11 09:42:50,,,,,,,,,,,,,,,103.12599865063143,,,100.26895897335467,,,,,99.25008884429666,102.37349130236609,,,,,99.21157591102995,,,
2025-06-11 09:43:00,,,,,,,,,,,,,,,103.13532528637282,,,100.27038050213544,,,,,99.25723326679396,102.37409262788462,,,,,99.21271714123753,,,
2025-06-11 09:43:10,,,,,,,,,,,,,,,103.14467792503969,,,100.27179695427915,,,,,99.26437170326234,102.37469733643759,,,,,99.21386637709324,,,
2025-06-11 09:43:20,,,,,,,,,,,,,,,103.15405663025605,,,100.27320834673503,,,,,99.27150413332738,102.37530544207873,,,,,99.21502365827689,,,
2025-06-11 09:43:30,,,,,,,,,,,,,,,103.16346146571826,,,100.27461469640718,,,,,99.27863053669174,102.3759169588952,,,,,99.21618902462676,,,
2025-06-11 09:43:40,,,,,,,,,,,,,,,103.1728924952065,,,100.27601602015385,,,,,99.28575089312618,102.37653190100792,,,,,99.21736251613969,,,
2025-06-11 09:43:50,,,,,,,,,,,,,,,103.18234978259784,,,100.27741233478866,,,,,99.29286518247007,102.37715028257189,,,,,99.2185441729719,,,
2025-06-11 09:44:00,,,,,,,,,,,,,,,103.19183339183755,,,100.27880365708006,,,,,99.29997338464936,102.37777211777635,,,,,99.21973403543923,,,
2025-06-11 09:44:10,,,,,,,,,,,,,,,103.20134338695979,,,100.28019000375218,,,,,99.30707547965457,102.37839742084516,,,,,99.22093214401852,,,
2025-06-11 09:44:20,,,,,,,,,,,,,,,103.21087983207251,,,100.28157139148425,,,,,99.31417144753904,102.3790262060367,,,,,99.22213853934697,,,
2025-06-11 09:44:30,,,,,,,,,,,,,,,103.22044279136976,,,100.28294783691155,,,,,99.32126126844467,102.3796584876445,,,,,99.22335326222418,,,
2025-06-11 09:44:40,,,,,,,,,,,,,,,103.23003232913459,,,100.28431935662512,,,,,99.32834492259873,102.38029427999722,,,,,99.22457635361002,,,
2025-06-11 09:44:50,,,,,,,,,,,,,,,103.23964850971323,,,100.28568596717189,,,,,99.3354223902745,102.38093359745909,,,,,99.22580785462854,,,
2025-06-11 09:45:00,,,,,,,,,,,,,,,103.2492913975347,,,100.2870476850553,,,,,99.3424936518363,102.38157645442996,,,,,99.22704780656709,,,
2025-06-11 09:45:10,,,,,,,,,,,,,,,103.25896105710639,,,100.28840452673525,,,,,99.34955868771857,102.38222286534567,,,,,99.22829625087702,,,
2025-06-11 09:45:20,,,,,,,,,,,,,,,103.26865755302002,,,100.28975650862809,,,,,99.3566174784327,102.3828728446783,,,,,99.22955322917464,,,
2025-06-11 09:45:30,,,,,,,,,,,,,,,103.2783809499406,,,100.29110364710701,,,,,99.36367000456345,102.38352640693624,,,,,99.23081878324074,,,
